08:45:53 order-status: {"id": "order-fault1", "status": "CREATED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:50.055552"}
08:45:59 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:05 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:11 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:17 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:23 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:29 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:35 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:41 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:47 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:53 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:46:59 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:05 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:11 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:17 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:23 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:28 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:34 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:40 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
08:47:46 order-status: {"id": "order-fault1", "status": "CONFIRMED", "fail_payment": false, "created_at": "2026-09-13 03:15:50.055552", "updated_at": "2026-09-13 03:15:56.895790"}
